brand_id,name
-1,All
31,100% Eyewear
26,44 Pro
32,ASICS
36,Absolutely Ridiculous
14,Adidas
10,All-Star
21,Axe
29,B45
38,BWP
19,Bat Skin
33,Birdman
41,Bruce Bolt
34,Chandler
37,Cooperstown Bat Co
42,Diamond Kinetics
27,Dinger
24,Easton
11,EvoShield
40,Force3 Pro Gear
6,Franklin
28,G-Form
22,Jordan
16,Lizard Skins
1,Louisville Slugger
2,Marucci
3,Mizuno
43,My Legacy
15,New Balance
39,New Era
5,Nike
30,Oakley
12,Old Hickory
4,Rawlings
0,Ritual
20,SSK
17,STANCE
9,Sam Bat
25,Tater
13,Trinity Bat Co
7,Under Armour
18,Varo
23,Victus
35,Warstic
8,Wilson
