meta_type,scanned_at,series_id,name,brand_id,value
series,2026-04-06,-1.0,All,,
series,2026-04-06,10020.0,2nd Half Heroes,,
series,2026-04-06,10004.0,All-Star,,
series,2026-04-06,10005.0,Awards,,
series,2026-04-06,10002.0,Breakout,,
series,2026-04-06,10044.0,Contributor,,
series,2026-04-06,10049.0,Cornerstone,,
series,2026-04-06,10043.0,Egg Hunt,,
series,2026-04-06,10046.0,Jolt,,
series,2026-04-06,10045.0,Last Ride,,
series,2026-04-06,1337.0,Live,,
series,2026-04-06,10022.0,Milestone,,
series,2026-04-06,10050.0,New Threads,,
series,2026-04-06,10006.0,Postseason,,
series,2026-04-06,10013.0,Prime,,
series,2026-04-06,10052.0,Ranked 1000,,
series,2026-04-06,10001.0,Rookie,,
series,2026-04-06,10009.0,Signature,,
series,2026-04-06,10047.0,Spotlight,,
series,2026-04-06,10039.0,Spring Breakout,,
series,2026-04-06,10062.0,St. Patrick's Day,,
series,2026-04-06,10034.0,Standout,,
series,2026-04-06,10035.0,The Negro Leagues,,
series,2026-04-06,10017.0,Topps Now,,
series,2026-04-06,10003.0,Veteran,,
series,2026-04-06,10028.0,World Baseball Classic,,
brands,2026-04-06,,All,-1.0,
brands,2026-04-06,,100% Eyewear,31.0,
brands,2026-04-06,,44 Pro,26.0,
brands,2026-04-06,,ASICS,32.0,
brands,2026-04-06,,Absolutely Ridiculous,36.0,
brands,2026-04-06,,Adidas,14.0,
brands,2026-04-06,,All-Star,10.0,
brands,2026-04-06,,Axe,21.0,
brands,2026-04-06,,B45,29.0,
brands,2026-04-06,,BWP,38.0,
brands,2026-04-06,,Bat Skin,19.0,
brands,2026-04-06,,Birdman,33.0,
brands,2026-04-06,,Bruce Bolt,41.0,
brands,2026-04-06,,Chandler,34.0,
brands,2026-04-06,,Cooperstown Bat Co,37.0,
brands,2026-04-06,,Diamond Kinetics,42.0,
brands,2026-04-06,,Dinger,27.0,
brands,2026-04-06,,Easton,24.0,
brands,2026-04-06,,EvoShield,11.0,
brands,2026-04-06,,Force3 Pro Gear,40.0,
brands,2026-04-06,,Franklin,6.0,
brands,2026-04-06,,G-Form,28.0,
brands,2026-04-06,,Jordan,22.0,
brands,2026-04-06,,Lizard Skins,16.0,
brands,2026-04-06,,Louisville Slugger,1.0,
brands,2026-04-06,,Marucci,2.0,
brands,2026-04-06,,Mizuno,3.0,
brands,2026-04-06,,My Legacy,43.0,
brands,2026-04-06,,New Balance,15.0,
brands,2026-04-06,,New Era,39.0,
brands,2026-04-06,,Nike,5.0,
brands,2026-04-06,,Oakley,30.0,
brands,2026-04-06,,Old Hickory,12.0,
brands,2026-04-06,,Rawlings,4.0,
brands,2026-04-06,,Ritual,0.0,
brands,2026-04-06,,SSK,20.0,
brands,2026-04-06,,STANCE,17.0,
brands,2026-04-06,,Sam Bat,9.0,
brands,2026-04-06,,Tater,25.0,
brands,2026-04-06,,Trinity Bat Co,13.0,
brands,2026-04-06,,Under Armour,7.0,
brands,2026-04-06,,Varo,18.0,
brands,2026-04-06,,Victus,23.0,
brands,2026-04-06,,Warstic,35.0,
brands,2026-04-06,,Wilson,8.0,
sets,2026-04-06,,,,All
sets,2026-04-06,,,,
sets,2026-04-06,,,,CORE
